iter	Passed	Remaining
405	6372	9322
406	6387	9306
407	6399	9285
408	6418	9274
409	6430	9253
410	6447	9240
411	6463	9224
412	6476	9205
413	6489	9186
414	6503	9167
415	6517	9148
416	6540	9144
417	6554	9125
418	6571	9112
419	6588	9098
420	6606	9085
421	6623	9071
422	6644	9062
423	6661	9049
424	6678	9035
425	6688	9012
426	6700	8991
427	6714	8973
428	6726	8953
429	6739	8934
430	6751	8913
431	6773	8906
432	6792	8893
433	6802	8871
434	6815	8852
435	6826	8829
436	6846	8820
437	6857	8799
438	6875	8785
439	6891	8770
440	6903	8750
441	6914	8728
442	6934	8718
443	6950	8703
444	6970	8693
445	6986	8678
446	7009	8671
447	7026	8657
448	7041	8640
449	7056	8624
450	7071	8608
451	7083	8587
452	7094	8566
453	7109	8550
454	7124	8533
455	7147	8527
456	7168	8516
457	7185	8503
458	7208	8496
459	7229	8486
460	7250	8477
461	7272	8469
462	7289	8454
463	7312	8447
464	7330	8434
465	7344	8416
466	7354	8394
467	7371	8380
468	7399	8378
469	7414	8361
470	7423	8338
471	7433	8315
472	7447	8297
473	7462	8281
474	7473	8260
475	7488	8243
476	7504	8228
477	7516	8207
478	7537	8198
479	7552	8181
480	7565	8163
481	7579	8145
482	7593	8128
483	7611	8114
484	7624	8095
485	7632	8072
486	7646	8055
487	7664	8041
488	7675	8020
489	7688	8001
490	7706	7989
491	7720	7971
492	7737	7957
493	7744	7932
494	7754	7910
495	7764	7889
496	7775	7869
497	7792	7855
498	7809	7841
499	7824	7824
500	7837	7805
501	7850	7787
502	7858	7764
503	78504	7889504	78505	7905505	78506	7917506	79507	7933507	79508	7945	7664
509	7957509	51510	7972510	51511	7987511	51512	7999512	51513	8013513	80514	8025514	80515	8042515	80516	8063516	8063	7533
517	80518	8095518	80519	8106519	81520	8119520	81521	8135521	81522	8153522	81523	8163523	81524	8173524	8175	7396
525	81526	8209526	82527	8219527	8221	7349
528	8238	7334
529	82530	8262530	82531	8276531	8275	7279
532	8291	7264
533	8307	7249
534	83535	8334535	83536	8353536	83537	8367537	8369	7187
538	8386	7173
539	8401	7156
540	8418	7142
541	84542	8446542	8448	7110
543	8462	7093
544	8473	7074
545	8490	7059
546	8502	7041
547	8522	7029
54549	8534	698549	8559	7003
550	8577	6989
55552	8591	694552	8616	6964
553	8634	6951
55555	8653	691555	8675	6927
556	8685	6907
55558	8702	68655559	8727	6857
560	8747	6844
561	8762	6829
562	8781	6815
563	8801	6804
564	8815	6787
565	8830	6771
566	8848	6757
567	8859	6738
568	8876	6723
569	8893	6709
570	8907	6692
571	8919	6674
572	8938	6660
573	8949	6641
574	8967	6628
575	8978	66057576	8990	65957577	9004	65757578	9016	655578	9031	6567
